user_id,movieId,rating,title
Ваня,364,4.0,The Lion King (1994)
Ваня,500,4.0,Mrs. Doubtfire (1993)
Ваня,527,3.5,Schindler's List (1993)
Ваня,592,4.0,Batman (1989)
Ваня,858,4.0,The Godfather (1972)
Ваня,1193,5.0,One Flew Over the Cuckoo's Nest (1975)
Ваня,1196,5.0,The Empire Strikes Back (1980)
Ваня,1198,5.0,Raiders of the Lost Ark (1981)
Ваня,1201,5.0,"The Good, the Bad and the Ugly (1966)"
Ваня,1203,3.0,12 Angry Men (1957)
Ваня,1208,2.5,Apocalypse Now (1979)
Ваня,1222,3.0,Full Metal Jacket (1987)
Ваня,1258,4.0,The Shining (1980)
Ваня,1527,4.0,The Fifth Element (1997)
Ваня,1580,3.5,Men in Black (1997)
Ваня,1721,4.0,Titanic (1997)
Ваня,1907,4.0,Mulan (1998)
Ваня,2028,4.0,Saving Private Ryan (1998)
Ваня,2167,4.0,Blade (1998)
Ваня,2355,4.0,A Bug's Life (1998)
Ваня,2571,4.0,The Matrix (1999)
Ваня,2985,4.0,RoboCop (1987)
Ваня,3114,3.5,Toy Story 2 (1999)
Ваня,4886,4.0,"Monsters, Inc. (2001)"
Ваня,5218,4.0,Ice Age (2002)
Ваня,5349,4.5,Spider-Man (2002)
Ваня,5618,4.0,Spirited Away (2001)
Ваня,5816,4.0,Harry Potter and the Chamber of Secrets (2002)
Ваня,5952,4.5,The Lord of the Rings: The Two Towers (2002)
Ваня,6377,4.0,Finding Nemo (2003)
Ваня,6874,4.0,Kill Bill: Vol. 1 (2003)
Ваня,8636,4.0,Spider-Man 2 (2004)
Ваня,8961,2.5,The Incredibles (2004)
Ваня,37729,3.0,Corpse Bride (2005)
Ваня,60069,4.0,WALL·E (2008)
Ваня,68358,3.5,Star Trek (2009)
Ваня,88140,4.0,Captain America: The First Avenger (2011)
Ваня,92259,4.0,The Intouchables (2011)
Ваня,97225,3.5,Hotel Transylvania (2012)
Ваня,102125,4.5,Iron Man 3 (2013)
Ваня,122886,3.5,Star Wars: The Force Awakens (2015)
Ваня,122918,5.0,Guardians of the Galaxy Vol. 2 (2017)
Ваня,134853,3.5,Inside Out (2015)
Ваня,177765,5.0,Coco (2017)
Костя,110,4.0,Braveheart (1995)
Костя,1704,4.5,Good Will Hunting (1997)
Костя,2571,4.5,The Matrix (1999)
Костя,3578,4.5,Gladiator (2000)
Костя,4351,5.0,Point Break (1991)
Костя,5956,4.5,Gangs of New York (2002)
Костя,7153,5.0,The Lord of the Rings: The Return of the King (2003)
Костя,7458,5.0,Troy (2004)
Костя,33794,4.0,Batman Begins (2005)
Костя,34150,2.0,Fantastic Four (2005)
Костя,36529,4.0,Lord of War (2005)
Костя,48516,5.0,The Departed (2006)
Костя,48780,4.0,The Prestige (2006)
Костя,53996,3.0,Transformers (2007)
Костя,69526,2.5,Transformers: Revenge of the Fallen (2009)
Костя,87520,0.5,Transformers: Dark of the Moon (2011)
Костя,89745,2.5,The Avengers (2012)
Костя,96821,3.0,The Perks of Being a Wallflower (2012)
Костя,101864,2.0,Oblivion (2013)
Костя,104913,4.0,Rush (2013)
Костя,107406,2.0,Snowpiercer (2013)
Костя,109487,3.5,Interstellar (2014)
Костя,122892,1.0,Avengers: Age of Ultron (2015)
Костя,122912,2.5,Avengers: Infinity War (2018)
Костя,122914,2.0,Avengers: Endgame (2019)
Костя,163060,0.5,The Green Elephant (1999)
Костя,226202,3.0,Free Guy (2021)
Костя,244334,3.0,Wrath of Man (2021)
Костя,251086,2.0,The Suicide Squad (2021)
Костя,251606,3.0,Hitman's Wife's Bodyguard (2021)
Андрей,260,5.0,Star Wars (1977)
Андрей,318,5.0,The Shawshank Redemption (1994)
Андрей,480,4.0,Jurassic Park (1993)
Андрей,858,4.0,The Godfather (1972)
Андрей,1240,3.0,The Terminator (1984)
Андрей,1265,5.0,Groundhog Day (1993)
Андрей,1270,5.0,Back to the Future (1985)
Андрей,1387,0.5,Jaws (1975)
Андрей,1527,5.0,The Fifth Element (1997)
Андрей,1882,5.0,Godzilla (1998)
Андрей,2571,3.0,The Matrix (1999)
Андрей,3452,0.5,Romeo Must Die (2000)
Андрей,3744,0.5,Shaft (2000)
Андрей,4887,0.5,The One (2001)
Андрей,4963,5.0,Ocean's Eleven (2001)
Андрей,5254,3.0,Blade II (2002)
Андрей,5507,1.0,xXx (2002)
Андрей,5574,3.0,The Transporter (2002)
Андрей,5810,5.0,8 Mile (2002)
Андрей,6502,1.0,28 Days Later (2002)
Андрей,6548,5.0,Bad Boys II (2003)
Андрей,7361,5.0,Eternal Sunshine of the Spotless Mind (2004)
Андрей,8361,5.0,The Day After Tomorrow (2004)
Андрей,8644,5.0,"I, Robot (2004)"
Андрей,8985,3.0,Blade: Trinity (2004)
Андрей,45186,0.5,Mission: Impossible III (2006)
Андрей,48774,0.5,Children of Men (2006)
Андрей,54999,0.5,Shoot 'Em Up (2007)
Андрей,56156,0.5,Hitman (2007)
Андрей,56174,5.0,I Am Legend (2007)
Андрей,57528,0.5,Rambo (2008)
Андрей,58559,1.0,The Dark Knight (2008)
Андрей,59315,3.0,Iron Man (2008)
Андрей,60760,2.0,The X Files: I Want to Believe (2008)
Андрей,63992,1.0,Twilight (2008)
Андрей,64497,0.5,The Day the Earth Stood Still (2008)
Андрей,68319,5.0,X-Men Origins: Wolverine (2009)
Андрей,71838,5.0,Law Abiding Citizen (2009)
Андрей,80463,5.0,The Social Network (2010)
Андрей,81229,1.0,RED (2010)
Андрей,81562,1.0,127 Hours (2010)
Андрей,86190,5.0,Hanna (2011)
Андрей,87430,0.5,Green Lantern (2011)
Андрей,88744,0.5,Rise of the Planet of the Apes (2011)
Андрей,91535,1.0,The Bourne Legacy (2012)
Андрей,92259,5.0,The Intouchables (2011)
Андрей,96079,3.0,Skyfall (2012)
Андрей,99112,5.0,Jack Reacher (2012)
Андрей,102407,5.0,The Great Gatsby (2013)
Андрей,106782,5.0,The Wolf of Wall Street (2013)
Андрей,107406,1.0,Snowpiercer (2013)
Андрей,116797,5.0,The Imitation Game (2014)
Андрей,133195,0.5,Hitman: Agent 47 (2015)
Андрей,134130,1.0,The Martian (2015)
Андрей,148671,2.5,Saw (2003)
Андрей,170827,0.5,The Mummy (2017)
Андрей,187593,4.0,Deadpool 2 (2018)
Андрей,204698,4.0,Joker (2019)
Андрей,254726,2.5,Dune (2021)
Антон,231,2.0,Dumb and Dumber (1994)
Антон,296,4.5,Pulp Fiction (1994)
Антон,318,4.5,The Shawshank Redemption (1994)
Антон,527,3.5,Schindler's List (1993)
Антон,2959,4.5,Fight Club (1999)
Антон,4011,4.0,Snatch (2000)
Антон,5989,4.5,Catch Me If You Can (2002)
Антон,7458,4.0,Troy (2004)
Антон,31427,1.0,Hide and Seek (2005)
Антон,64969,4.0,Yes Man (2008)
Антон,74458,5.0,Shutter Island (2010)
Антон,79132,5.0,Inception (2010)
Антон,80463,3.0,The Social Network (2010)
Антон,85788,3.0,Insidious (2010)
Антон,92422,1.0,The Woman in Black (2012)
Антон,95441,3.0,Ted (2012)
Антон,106782,4.5,The Wolf of Wall Street (2013)
Антон,109487,3.0,Interstellar (2014)
Антон,116977,1.5,Dumb and Dumber To (2014)
Антон,128360,4.0,The Hateful Eight (2015)
Антон,136562,3.5,Steve Jobs (2015)
Антон,139385,4.0,The Revenant (2015)
Антон,141688,4.0,Legend (2015)
Антон,151913,1.5,The Best Movie 2 (2009)
Антон,166946,2.0,The Founder (2016)
Антон,171545,2.0,The Best Movie 3-DE (2011)
Антон,171729,1.5,The Best Movie (2008)
Антон,210861,5.0,The Gentlemen (2019)
Антон,226202,4.0,Free Guy (2021)
Антон,231701,4.0,Kill Bill: The Whole Bloody Affair (2011)
Ильдус,34,1.5,Babe (1995)
Ильдус,47,4.5,Se7en (1995)
Ильдус,208,1.5,Waterworld (1995)
Ильдус,260,2.0,Star Wars (1977)
Ильдус,296,4.5,Pulp Fiction (1994)
Ильдус,318,5.0,The Shawshank Redemption (1994)
Ильдус,356,5.0,Forrest Gump (1994)
Ильдус,527,5.0,Schindler's List (1993)
Ильдус,593,4.0,The Silence of the Lambs (1991)
Ильдус,1196,1.5,The Empire Strikes Back (1980)
Ильдус,2706,3.0,American Pie (1999)
Ильдус,2762,4.0,The Sixth Sense (1999)
Ильдус,2959,4.0,Fight Club (1999)
Ильдус,3147,5.0,The Green Mile (1999)
Ильдус,3949,4.0,Requiem for a Dream (2000)
Ильдус,3977,0.5,Charlie's Angels (2000)
Ильдус,4993,5.0,The Lord of the Rings: The Fellowship of the Ring (2001)
Ильдус,5445,1.0,Minority Report (2002)
Ильдус,5574,0.5,The Transporter (2002)
Ильдус,5952,5.0,The Lord of the Rings: The Two Towers (2002)
Ильдус,7153,5.0,The Lord of the Rings: The Return of the King (2003)
Ильдус,7361,3.5,Eternal Sunshine of the Spotless Mind (2004)
Ильдус,8361,2.0,The Day After Tomorrow (2004)
Ильдус,8368,5.0,Harry Potter and the Prisoner of Azkaban (2004)
Ильдус,48385,5.0,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
Ильдус,53322,1.0,Ocean's Thirteen (2007)
Ильдус,54272,2.0,The Simpsons Movie (2007)
Ильдус,60069,3.5,WALL·E (2008)
Ильдус,60074,1.0,Hancock (2008)
Ильдус,63992,2.0,Twilight (2008)
Ильдус,68157,3.0,Inglourious Basterds (2009)
Ильдус,74458,4.0,Shutter Island (2010)
Ильдус,79132,3.5,Inception (2010)
Ильдус,86882,3.0,Midnight in Paris (2011)
Ильдус,92259,3.5,The Intouchables (2011)
Ильдус,93510,1.5,21 Jump Street (2012)
Ильдус,95441,1.5,Ted (2012)
Ильдус,97921,1.0,Silver Linings Playbook (2012)
Ильдус,103249,2.0,World War Z (2013)
Ильдус,104841,1.5,Gravity (2013)
Ильдус,106782,3.5,The Wolf of Wall Street (2013)
